session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,reference,100,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S11300,73,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S8700,62,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S3500,21,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S9300,59,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S10000,76,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S10700,65,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S12000,87,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S5500,29,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S3500,13,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S8700,51,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S7000,25,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,reference,100,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S10000,55,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S11300,81,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S8000,44,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S5500,32,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S12000,60,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S10700,87,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S9300,74,104097,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S9300,47,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S12000,87,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S8700,43,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S10000,80,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,reference,100,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S8000,30,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S10700,54,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S7000,26,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S5500,16,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S3500,8,80980,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,hq_label,S11300,87,80980,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S10700,50,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S8000,20,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S5500,15,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S3500,25,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S9300,40,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S7000,17,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S8700,35,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S12000,80,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,reference,100,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S10000,45,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,trening,S11300,70,252902,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,reference,100,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S8000,15,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S10000,75,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S7000,10,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S10700,60,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S12000,70,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S5500,35,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S11300,50,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S3500,0,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S9300,30,99492,
label_test_2,615940c7-35c5-4aa0-be03-7cb6988e159d,hq_label,S8700,40,99492,
